ok,status,ttft_s,e2e_s,mean_itl_s,n_tokens,is_overlap,error
1,200,0.000558795,0.000594669,0.000003046,10,0,
1,200,0.000497000,0.000531793,0.000002958,10,0,
1,200,0.000718504,0.000807086,0.000008757,10,0,
1,200,0.000679035,0.000715927,0.000003150,10,0,
1,200,0.000520800,0.000555485,0.000003027,10,0,
1,200,0.000578379,0.000614286,0.000003075,10,0,
1,200,0.000782357,0.000873136,0.000009044,10,0,
1,200,0.000819664,0.000854644,0.000002921,10,0,
1,200,0.000558990,0.000596254,0.000003181,10,0,
1,200,0.000622815,0.000660483,0.000003161,10,0,
1,200,0.000708291,0.000799573,0.000009034,10,0,
1,200,0.000651850,0.000738875,0.000008702,10,0,
1,200,0.000599353,0.000858976,0.000027827,10,0,
1,200,0.000457996,0.000541184,0.000008331,10,0,
1,200,0.000409102,0.000445459,0.000003187,10,0,
1,200,0.000704415,0.000794760,0.000009031,10,0,
1,200,0.000608661,0.000645571,0.000003116,10,0,
1,200,0.000658480,0.000695201,0.000003175,10,0,
1,200,0.000694105,0.000731603,0.000003208,10,0,
1,200,0.000725134,0.000763004,0.000003143,10,0,
1,200,0.000666081,0.000753787,0.000008694,10,0,
1,200,0.000550503,0.000588630,0.000003271,10,0,
1,200,0.000504340,0.000590040,0.000008588,10,0,
1,200,0.000742507,0.000780272,0.000003265,10,0,
1,200,0.000649021,0.000717506,0.000006840,10,0,
1,200,0.000801184,0.000836345,0.000002929,10,0,
1,200,0.000646680,0.000683920,0.000003110,10,0,
1,200,0.000656291,0.000694117,0.000003209,10,0,
1,200,0.000490668,0.000561626,0.000007133,10,0,
1,200,0.000620229,0.000707145,0.000008623,10,0,
1,200,0.000689858,0.000780699,0.000009045,10,0,
1,200,0.000716676,0.000807456,0.000009052,10,0,
1,200,0.000567168,0.000652980,0.000008584,10,0,
1,200,0.000674520,0.000725923,0.000004666,10,0,
1,200,0.000578303,0.000616492,0.000003281,10,0,
1,200,0.000684696,0.000776692,0.000009215,10,0,
1,200,0.000611373,0.000648632,0.000003190,10,0,
1,200,0.000700654,0.000737941,0.000003135,10,0,
1,200,0.000695459,0.000733118,0.000003196,10,0,
1,200,0.000677231,0.000715894,0.000003191,10,0,
1,200,0.000718863,0.000756026,0.000003119,10,0,
1,200,0.000586857,0.000682927,0.000009726,10,0,
1,200,0.000538494,0.000612705,0.000007241,10,0,
1,200,0.000713554,0.000749781,0.000003092,10,0,
1,200,0.000658160,0.000747757,0.000008909,10,0,
1,200,0.000690163,0.000779648,0.000008862,10,0,
1,200,0.000667192,0.000704194,0.000003157,10,0,
1,200,0.000427228,0.000461779,0.000003010,10,0,
1,200,0.000647326,0.000737566,0.000009017,10,0,
1,200,0.000579748,0.000670759,0.000009040,10,0,
1,200,0.000601118,0.000636986,0.000003064,10,0,
1,200,0.000646798,0.000684079,0.000003132,10,0,
1,200,0.000640027,0.000726521,0.000008582,10,0,
1,200,0.000611150,0.000721092,0.000011246,10,0,
1,200,0.000666578,0.000703596,0.000003111,10,0,
1,200,0.000704120,0.000976332,0.000029210,10,0,
1,200,0.000494088,0.000579474,0.000008579,10,0,
1,200,0.000679531,0.000766948,0.000008760,10,0,
1,200,0.000712056,0.000800017,0.000008757,10,0,
1,200,0.000721611,0.000812533,0.000009051,10,0,
1,200,0.000604456,0.000691979,0.000008714,10,0,
1,200,0.000758520,0.000848409,0.000008888,10,0,
1,200,0.000789856,0.000888488,0.000009870,10,0,
1,200,0.000778647,0.000881166,0.000010276,10,0,
1,200,0.000771874,0.000875196,0.000010308,10,0,
1,200,0.000641834,0.000731556,0.000008893,10,0,
1,200,0.000680376,0.000769196,0.000008887,10,0,
1,200,0.000770865,0.000864961,0.000009349,10,0,
1,200,0.000878759,0.000982560,0.000010458,10,0,
1,200,0.000688739,0.000778255,0.000008900,10,0,
1,200,0.000727736,0.000818764,0.000009043,10,0,
1,200,0.000758629,0.000851265,0.000009180,10,0,
1,200,0.000743072,0.000833730,0.000009006,10,0,
1,200,0.000630210,0.000719878,0.000008931,10,0,
1,200,0.000785748,0.000875355,0.000008913,10,0,
1,200,0.000688712,0.000775493,0.000008625,10,0,
1,200,0.000686204,0.000724255,0.000003180,10,0,
1,200,0.000722164,0.000810280,0.000008761,10,0,
1,200,0.000696334,0.000784301,0.000008737,10,0,
1,200,0.000725617,0.000806482,0.000003255,10,0,
1,200,0.000632339,0.000719404,0.000008709,10,0,
1,200,0.000743675,0.000838113,0.000009448,10,0,
1,200,0.000807009,0.000897985,0.000008986,10,0,
1,200,0.000591560,0.000675667,0.000008427,10,0,
1,200,0.000740047,0.000831074,0.000008988,10,0,
1,200,0.000474802,0.000556162,0.000008148,10,0,
