ok,status,ttft_s,e2e_s,mean_itl_s,n_tokens,is_overlap,error
1,200,0.001075738,0.001178792,0.000002899,10,0,
1,200,0.001134079,0.001227265,0.000008895,10,0,
1,200,0.000701696,0.000789576,0.000008481,10,0,
1,200,0.000865026,0.000902974,0.000002922,10,0,
1,200,0.001157144,0.001196216,0.000002944,10,0,
1,200,0.001148512,0.001187835,0.000002926,10,0,
1,200,0.000826528,0.000913314,0.000008324,10,0,
1,200,0.000939484,0.001028502,0.000008531,10,0,
1,200,0.001025339,0.001062898,0.000002850,10,0,
1,200,0.001136072,0.001228544,0.000002940,10,0,
1,200,0.001139051,0.001445058,0.000002963,10,0,
1,200,0.000811807,0.000903047,0.000008814,10,0,
1,200,0.000708034,0.000793856,0.000008316,10,0,
1,200,0.001045627,0.001145279,0.000003109,10,0,
1,200,0.001021930,0.001063153,0.000003150,10,0,
1,200,0.001299166,0.001339886,0.000003061,10,0,
1,200,0.001156594,0.001246193,0.000002859,10,0,
1,200,0.001050625,0.001145683,0.000002890,10,0,
1,200,0.001054011,0.001153270,0.000003107,10,0,
1,200,0.001243028,0.001535307,0.000002961,10,0,
1,200,0.000730030,0.000833895,0.000006515,10,0,
1,200,0.001128521,0.001222388,0.000003089,10,0,
1,200,0.000983614,0.001061786,0.000007318,10,0,
1,200,0.001050925,0.001141940,0.000008611,10,0,
1,200,0.000761766,0.000845705,0.000008090,10,0,
1,200,0.001084665,0.001171896,0.000008365,10,0,
1,200,0.000936637,0.001002816,0.000002639,10,0,
1,200,0.000958063,0.001043629,0.000008272,10,0,
1,200,0.000884178,0.000971625,0.000008410,10,0,
1,200,0.001004777,0.001098267,0.000002952,10,0,
1,200,0.000732540,0.000809320,0.000007376,10,0,
1,200,0.001002170,0.001040597,0.000002918,10,0,
1,200,0.000861499,0.000948820,0.000008373,10,0,
1,200,0.000972281,0.001009875,0.000002852,10,0,
1,200,0.000792888,0.000879562,0.000008347,10,0,
1,200,0.000994909,0.001034524,0.000002970,10,0,
1,200,0.000949363,0.001045221,0.000009076,10,0,
1,200,0.000851754,0.000941524,0.000008485,10,0,
1,200,0.001156221,0.001246064,0.000008581,10,0,
1,200,0.000909672,0.001000420,0.000002937,10,0,
1,200,0.000855595,0.000892878,0.000002920,10,0,
1,200,0.001123414,0.001160988,0.000002912,10,0,
1,200,0.001053041,0.001148293,0.000009127,10,0,
1,200,0.001077791,0.001115837,0.000002845,10,0,
1,200,0.000916677,0.001000957,0.000008158,10,0,
1,200,0.000628066,0.000700577,0.000006965,10,0,
1,200,0.001225507,0.001323812,0.000003436,10,0,
1,200,0.000872233,0.000956744,0.000008079,10,0,
1,200,0.000743872,0.000804663,0.000002829,10,0,
1,200,0.000980132,0.001068328,0.000008256,10,0,
1,200,0.000776399,0.000843222,0.000002746,10,0,
1,200,0.000641928,0.000726645,0.000006113,10,0,
1,200,0.000954464,0.001038994,0.000008050,10,0,
1,200,0.000839310,0.001090286,0.000026464,10,0,
1,200,0.000588967,0.000665766,0.000007409,10,0,
1,200,0.000768542,0.000855182,0.000008302,10,0,
1,200,0.001105510,0.001144806,0.000002902,10,0,
1,200,0.000943663,0.001030647,0.000008291,10,0,
1,200,0.001023009,0.001112985,0.000008700,10,0,
1,200,0.001111085,0.001150724,0.000002964,10,0,
1,200,0.001092603,0.001131068,0.000002848,10,0,
1,200,0.000889727,0.000974986,0.000008169,10,0,
1,200,0.001164818,0.001254936,0.000008500,10,0,
1,200,0.000728676,0.000810498,0.000007913,10,0,
1,200,0.000655482,0.000737204,0.000007867,10,0,
1,200,0.001151827,0.001242589,0.000008572,10,0,
1,200,0.000868112,0.000954839,0.000008311,10,0,
1,200,0.000978332,0.001068353,0.000008513,10,0,
1,200,0.001062878,0.001101598,0.000002904,10,0,
1,200,0.000783009,0.000868109,0.000008170,10,0,
1,200,0.000827632,0.000937587,0.000007928,10,0,
1,200,0.000855514,0.000934810,0.000007556,10,0,
1,200,0.000710116,0.000845987,0.000013870,10,0,
1,200,0.000995755,0.001086731,0.000003037,10,0,
1,200,0.000735877,0.000810997,0.000007230,10,0,
1,200,0.001033481,0.001132593,0.000009414,10,0,
1,200,0.000989967,0.001052412,0.000002807,10,0,
1,200,0.000852440,0.000938989,0.000008290,10,0,
1,200,0.000843918,0.000923009,0.000002768,10,0,
1,200,0.000817958,0.000903465,0.000008237,10,0,
1,200,0.000878119,0.000966113,0.000008429,10,0,
1,200,0.000801546,0.000880616,0.000007605,10,0,
1,200,0.000928007,0.001019203,0.000008571,10,0,
1,200,0.000842675,0.000929532,0.000008371,10,0,
1,200,0.000883941,0.000948316,0.000003039,10,0,
1,200,0.001464997,0.001537317,0.000003450,10,0,
1,200,0.000893150,0.000973763,0.000007701,10,0,
1,200,0.000836298,0.000920678,0.000008198,10,0,
1,200,0.000702909,0.000783274,0.000007762,10,0,
1,200,0.001162594,0.001201201,0.000002868,10,0,
1,200,0.000896653,0.000960295,0.000002882,10,0,
1,200,0.001087810,0.001176020,0.000008361,10,0,
1,200,0.000820155,0.000901811,0.000007693,10,0,
1,200,0.001069069,0.001162214,0.000008764,10,0,
1,200,0.001081300,0.001147302,0.000002757,10,0,
1,200,0.001243336,0.001332237,0.000008290,10,0,
1,200,0.001079746,0.001172091,0.000008730,10,0,
1,200,0.000774109,0.000810027,0.000002809,10,0,
1,200,0.000847961,0.000884659,0.000002832,10,0,
1,200,0.001111225,0.001208535,0.000009342,10,0,
1,200,0.000918985,0.001007785,0.000008394,10,0,
1,200,0.000796675,0.000873486,0.000002771,10,0,
1,200,0.001188881,0.001290152,0.000003438,10,0,
1,200,0.001104838,0.001143847,0.000002926,10,0,
1,200,0.000881217,0.000970468,0.000008576,10,0,
1,200,0.000962589,0.001054606,0.000008800,10,0,
1,200,0.000771854,0.000859036,0.000008382,10,0,
1,200,0.000973854,0.001064062,0.000008504,10,0,
1,200,0.000760187,0.000851339,0.000008868,10,0,
1,200,0.000764871,0.000822571,0.000002792,10,0,
1,200,0.001135704,0.001174411,0.000002922,10,0,
1,200,0.001031041,0.001119204,0.000008318,10,0,
1,200,0.000962684,0.001041205,0.000002842,10,0,
1,200,0.000909725,0.001000840,0.000002958,10,0,
1,200,0.000690370,0.000777663,0.000008366,10,0,
1,200,0.000974899,0.001062369,0.000002933,10,0,
1,200,0.000742315,0.000823102,0.000007800,10,0,
1,200,0.000846335,0.000882960,0.000002857,10,0,
1,200,0.000748413,0.000832372,0.000008081,10,0,
1,200,0.000835122,0.001094926,0.000027528,10,0,
1,200,0.000655514,0.000733149,0.000007491,10,0,
1,200,0.000970433,0.001091271,0.000011828,10,0,
1,200,0.001108675,0.001385284,0.000002918,10,0,
1,200,0.000693897,0.000772961,0.000007653,10,0,
1,200,0.000975679,0.001014825,0.000003013,10,0,
1,200,0.001020543,0.001058614,0.000002855,10,0,
1,200,0.001094700,0.001190753,0.000002941,10,0,
1,200,0.001175555,0.001268686,0.000008920,10,0,
1,200,0.001026777,0.001116600,0.000008508,10,0,
1,200,0.000921547,0.001015127,0.000008964,10,0,
1,200,0.001106004,0.001145672,0.000002978,10,0,
