ok,status,ttft_s,e2e_s,mean_itl_s,n_tokens,is_overlap,error
1,200,0.000752631,0.000791246,0.000003205,10,0,
1,200,0.000678057,0.000769075,0.000009081,10,0,
1,200,0.000794706,0.000895035,0.000009991,10,0,
1,200,0.000608543,0.000644001,0.000003069,10,0,
1,200,0.000641326,0.000727126,0.000008672,10,0,
1,200,0.000437087,0.000472816,0.000003130,10,0,
1,200,0.000693707,0.000788699,0.000009517,10,0,
1,200,0.000512415,0.000551690,0.000002981,10,0,
1,200,0.000830508,0.000921037,0.000008950,10,0,
1,200,0.000677162,0.000744541,0.000006689,10,0,
1,200,0.000630093,0.000667943,0.000003200,10,0,
1,200,0.000625767,0.000662925,0.000003180,10,0,
1,200,0.000742019,0.000835613,0.000009394,10,0,
1,200,0.000630789,0.000667110,0.000003056,10,0,
1,200,0.000671323,0.000759929,0.000008823,10,0,
1,200,0.000565323,0.000655606,0.000009090,10,0,
1,200,0.000683809,0.000722238,0.000003239,10,0,
1,200,0.000490704,0.000527076,0.000003094,10,0,
1,200,0.000515595,0.000598809,0.000008332,10,0,
1,200,0.000733232,0.000832112,0.000009866,10,0,
1,200,0.000638576,0.000728233,0.000008975,10,0,
1,200,0.000602376,0.000637949,0.000003003,10,0,
1,200,0.000681128,0.000773972,0.000009296,10,0,
1,200,0.000428427,0.000464764,0.000003126,10,0,
1,200,0.000509927,0.000587301,0.000002923,10,0,
1,200,0.000500625,0.000582145,0.000008121,10,0,
1,200,0.000450420,0.000535056,0.000008556,10,0,
1,200,0.000678156,0.000770551,0.000009213,10,0,
1,200,0.000550996,0.000587081,0.000003118,10,0,
1,200,0.000735522,0.000830974,0.000009484,10,0,
1,200,0.000815645,0.000852440,0.000003066,10,0,
1,200,0.000568985,0.000627811,0.000005423,10,0,
1,200,0.000500861,0.000538360,0.000003191,10,0,
1,200,0.000589732,0.000682010,0.000009205,10,0,
1,200,0.000710551,0.000799439,0.000008845,10,0,
1,200,0.000670822,0.000756823,0.000008532,10,0,
1,200,0.000526182,0.000638763,0.000011622,10,0,
1,200,0.000747384,0.000785623,0.000003146,10,0,
1,200,0.000611691,0.000643805,0.000002799,10,0,
1,200,0.000798622,0.000892701,0.000009386,10,0,
1,200,0.000892246,0.000991548,0.000009816,10,0,
1,200,0.000895519,0.000989469,0.000009345,10,0,
1,200,0.000649687,0.000736561,0.000008670,10,0,
1,200,0.000705838,0.000743722,0.000003170,10,0,
1,200,0.000438522,0.000519369,0.000002852,10,0,
1,200,0.000395650,0.000629433,0.000025111,10,0,
1,200,0.000421424,0.000500421,0.000007965,10,0,
1,200,0.000725896,0.000762086,0.000002971,10,0,
1,200,0.000537374,0.000623816,0.000008627,10,0,
1,200,0.000797302,0.000890971,0.000009327,10,0,
1,200,0.000567888,0.000604840,0.000003181,10,0,
1,200,0.000456390,0.000523014,0.000006658,10,0,
1,200,0.000553952,0.000591585,0.000003204,10,0,
1,200,0.000472795,0.000508677,0.000003080,10,0,
1,200,0.000698247,0.000735575,0.000003126,10,0,
1,200,0.000676126,0.000711982,0.000003062,10,0,
1,200,0.000459751,0.000495291,0.000003079,10,0,
1,200,0.000891621,0.000926268,0.000002883,10,0,
1,200,0.000507014,0.000543106,0.000003101,10,0,
1,200,0.000729856,0.000820442,0.000008960,10,0,
1,200,0.000927091,0.001038218,0.000011218,10,0,
1,200,0.000591745,0.000628639,0.000003169,10,0,
