ok,status,ttft_s,e2e_s,mean_itl_s,n_tokens,is_overlap,error
1,200,0.000744235,0.000834521,0.000009008,10,0,
1,200,0.000512088,0.000581061,0.000002897,10,0,
1,200,0.000631707,0.000671159,0.000003361,10,0,
1,200,0.000599438,0.000638284,0.000003337,10,0,
1,200,0.000703472,0.000791643,0.000008710,10,0,
1,200,0.000574266,0.000665586,0.000006040,10,0,
1,200,0.000876321,0.000977124,0.000010099,10,0,
1,200,0.000681421,0.000718970,0.000003194,10,0,
1,200,0.000660072,0.000698094,0.000003226,10,0,
1,200,0.000766686,0.000805715,0.000003339,10,0,
1,200,0.000661307,0.000751114,0.000009020,10,0,
1,200,0.000725091,0.000841624,0.000007067,10,0,
1,200,0.000622020,0.000659866,0.000003254,10,0,
1,200,0.000836192,0.000930413,0.000009446,10,0,
1,200,0.000759385,0.000829165,0.000006729,10,0,
1,200,0.000517465,0.000553295,0.000003080,10,0,
1,200,0.000732463,0.000823989,0.000009090,10,0,
1,200,0.000673270,0.000760398,0.000008669,10,0,
1,200,0.000699653,0.000736360,0.000003087,10,0,
1,200,0.000760523,0.000801729,0.000003057,10,0,
1,200,0.000682394,0.000719626,0.000003165,10,0,
1,200,0.000692303,0.000729548,0.000003153,10,0,
1,200,0.000678825,0.000716144,0.000003148,10,0,
1,200,0.000652668,0.000688765,0.000003076,10,0,
1,200,0.000717625,0.000755273,0.000003204,10,0,
1,200,0.000678734,0.000769966,0.000009045,10,0,
1,200,0.000891225,0.000974162,0.000008036,10,0,
1,200,0.000714535,0.000752239,0.000003206,10,0,
1,200,0.000704893,0.000794051,0.000008753,10,0,
1,200,0.000730944,0.000821612,0.000009066,10,0,
1,200,0.000654516,0.000691605,0.000003134,10,0,
1,200,0.000544508,0.000579487,0.000003006,10,0,
1,200,0.000693453,0.000780901,0.000008660,10,0,
1,200,0.000566827,0.000604331,0.000003190,10,0,
1,200,0.000615147,0.000704210,0.000008877,10,0,
1,200,0.000705754,0.000742307,0.000003053,10,0,
1,200,0.000718512,0.000805104,0.000008686,10,0,
1,200,0.000542082,0.000583282,0.000003648,10,0,
1,200,0.000683113,0.000776374,0.000009355,10,0,
1,200,0.000462834,0.000497819,0.000003061,10,0,
1,200,0.000451297,0.000487016,0.000003141,10,0,
1,200,0.000514539,0.000633645,0.000012288,10,0,
1,200,0.000630266,0.000666511,0.000003123,10,0,
1,200,0.000649744,0.000733336,0.000008328,10,0,
1,200,0.000726140,0.000813250,0.000008638,10,0,
1,200,0.000496555,0.000568404,0.000007103,10,0,
1,200,0.000491150,0.000555176,0.000002893,10,0,
1,200,0.000738876,0.000836420,0.000009773,10,0,
1,200,0.000719883,0.000842472,0.000012467,10,0,
1,200,0.000730189,0.000821150,0.000009106,10,0,
1,200,0.000692246,0.000777655,0.000008544,10,0,
1,200,0.000648880,0.000687749,0.000003235,10,0,
1,200,0.000669293,0.000706189,0.000003083,10,0,
1,200,0.000611808,0.000649682,0.000003159,10,0,
1,200,0.000640756,0.000677845,0.000003105,10,0,
1,200,0.000655603,0.000693103,0.000003173,10,0,
1,200,0.000561487,0.000601389,0.000003417,10,0,
1,200,0.000697593,0.000787825,0.000008939,10,0,
1,200,0.000647835,0.000685355,0.000003179,10,0,
1,200,0.000707761,0.000744888,0.000003157,10,0,
1,200,0.000631456,0.000671202,0.000003354,10,0,
1,200,0.000830498,0.000922892,0.000009070,10,0,
1,200,0.000766839,0.000806298,0.000003330,10,0,
1,200,0.000695156,0.000785273,0.000008914,10,0,
1,200,0.000592742,0.000630313,0.000003169,10,0,
1,200,0.000760509,0.000851551,0.000009094,10,0,
1,200,0.000749953,0.000788071,0.000003254,10,0,
1,200,0.000712829,0.000810722,0.000009795,10,0,
1,200,0.000610222,0.000647821,0.000003166,10,0,
1,200,0.000750631,0.000789682,0.000003335,10,0,
1,200,0.000613006,0.000699365,0.000008623,10,0,
1,200,0.000774439,0.000863454,0.000008849,10,0,
1,200,0.000718020,0.000756467,0.000003222,10,0,
1,200,0.000592792,0.000631398,0.000003286,10,0,
1,200,0.000607349,0.000642079,0.000002930,10,0,
1,200,0.000783614,0.000819372,0.000002933,10,0,
1,200,0.000700736,0.000796620,0.000009556,10,0,
1,200,0.000727011,0.000818706,0.000009083,10,0,
1,200,0.000715525,0.000752743,0.000003141,10,0,
1,200,0.000656009,0.000743168,0.000008672,10,0,
1,200,0.000702449,0.000790419,0.000008700,10,0,
1,200,0.000725358,0.000764085,0.000003292,10,0,
1,200,0.000647754,0.000734346,0.000008653,10,0,
1,200,0.000774875,0.000865244,0.000009050,10,0,
1,200,0.000459333,0.000497988,0.000003269,10,0,
1,200,0.000486954,0.000526944,0.000003582,10,0,
1,200,0.000553873,0.000590519,0.000003180,10,0,
1,200,0.000709170,0.000746377,0.000003127,10,0,
1,200,0.000753466,0.000792114,0.000003212,10,0,
1,200,0.000601458,0.000638498,0.000003206,10,0,
1,200,0.000707871,0.000746616,0.000003392,10,0,
1,200,0.000436304,0.000471453,0.000003119,10,0,
1,200,0.000591166,0.000679468,0.000008868,10,0,
1,200,0.000492459,0.000581496,0.000006041,10,0,
1,200,0.000621718,0.000657252,0.000002983,10,0,
1,200,0.000754929,0.000794262,0.000003303,10,0,
1,200,0.000833802,0.000936139,0.000010294,10,0,
1,200,0.000709573,0.000746202,0.000003029,10,0,
1,200,0.000756817,0.001014490,0.000027600,10,0,
1,200,0.000460641,0.000545133,0.000008527,10,0,
1,200,0.000388240,0.000458855,0.000006907,10,0,
1,200,0.000810260,0.000894125,0.000008151,10,0,
1,200,0.000724559,0.000813305,0.000008839,10,0,
1,200,0.000701055,0.000783955,0.000008174,10,0,
1,200,0.000632051,0.000720010,0.000008771,10,0,
1,200,0.000707162,0.000745316,0.000003226,10,0,
1,200,0.000634998,0.000721358,0.000008586,10,0,
1,200,0.000682866,0.000721306,0.000003261,10,0,
1,200,0.000388556,0.000470565,0.000008225,10,0,
1,200,0.000707595,0.000744289,0.000003098,10,0,
1,200,0.000372310,0.000406477,0.000003013,10,0,
1,200,0.000859683,0.000898591,0.000003324,10,0,
1,200,0.000400771,0.000474392,0.000007422,10,0,
1,200,0.000702623,0.000739529,0.000003095,10,0,
1,200,0.000721647,0.000760311,0.000003220,10,0,
1,200,0.000580082,0.000615353,0.000002998,10,0,
1,200,0.000680421,0.000774957,0.000009460,10,0,
1,200,0.000558116,0.000678799,0.000012425,10,0,
1,200,0.000586679,0.000673984,0.000008750,10,0,
1,200,0.000710573,0.000750406,0.000003373,10,0,
1,200,0.000592490,0.000658111,0.000003037,10,0,
1,200,0.000673399,0.000761899,0.000008822,10,0,
1,200,0.000713254,0.000752519,0.000003255,10,0,
1,200,0.000679934,0.000717213,0.000003152,10,0,
1,200,0.000774968,0.000863091,0.000008728,10,0,
1,200,0.000616409,0.000654702,0.000003243,10,0,
1,200,0.000649762,0.000688319,0.000003242,10,0,
1,200,0.000573389,0.000611458,0.000003193,10,0,
1,200,0.000653880,0.000759354,0.000010640,10,0,
1,200,0.000770588,0.000892196,0.000009577,10,0,
1,200,0.000664023,0.000703502,0.000003336,10,0,
1,200,0.000670695,0.000708757,0.000003231,10,0,
1,200,0.000716270,0.000806170,0.000008991,10,0,
1,200,0.000664757,0.000747114,0.000008147,10,0,
1,200,0.000645168,0.000730965,0.000008498,10,0,
1,200,0.000714817,0.000752682,0.000003207,10,0,
1,200,0.000591971,0.000630402,0.000003255,10,0,
1,200,0.000693806,0.000731029,0.000003176,10,0,
1,200,0.000592270,0.000629513,0.000003216,10,0,
1,200,0.000814942,0.000852809,0.000003176,10,0,
1,200,0.000617312,0.000654662,0.000003190,10,0,
1,200,0.000697109,0.000789604,0.000009228,10,0,
1,200,0.000714291,0.000752503,0.000003226,10,0,
1,200,0.000740961,0.000828789,0.000008721,10,0,
1,200,0.000717813,0.000852567,0.000009454,10,0,
1,200,0.000563301,0.000657507,0.000009657,10,0,
1,200,0.000474820,0.000510472,0.000003133,10,0,
1,200,0.000769342,0.000805340,0.000003014,10,0,
1,200,0.000689186,0.000777930,0.000008928,10,0,
1,200,0.000748914,0.000785515,0.000003125,10,0,
1,200,0.000703718,0.000791208,0.000008695,10,0,
1,200,0.000749718,0.000840468,0.000009073,10,0,
1,200,0.000706211,0.000793456,0.000008667,10,0,
1,200,0.000666013,0.000754446,0.000008811,10,0,
1,200,0.000570808,0.000608460,0.000003231,10,0,
1,200,0.000711579,0.000965339,0.000027143,10,0,
1,200,0.000556873,0.000644161,0.000008709,10,0,
1,200,0.000753810,0.000793032,0.000003310,10,0,
1,200,0.000714497,0.000752125,0.000003193,10,0,
1,200,0.000875258,0.000915359,0.000003387,10,0,
1,200,0.000446758,0.000481402,0.000003071,10,0,
1,200,0.000438438,0.000522384,0.000008362,10,0,
1,200,0.000554213,0.000639769,0.000008568,10,0,
1,200,0.000737166,0.000831267,0.000009378,10,0,
1,200,0.000486404,0.000550276,0.000003006,10,0,
1,200,0.000664138,0.000769392,0.000007043,10,0,
1,200,0.000572229,0.000609056,0.000003142,10,0,
1,200,0.000680242,0.000718871,0.000003254,10,0,
1,200,0.000665754,0.000753173,0.000008674,10,0,
1,200,0.000693358,0.000732200,0.000003303,10,0,
1,200,0.000834840,0.000926246,0.000009148,10,0,
1,200,0.000667971,0.000706757,0.000003230,10,0,
1,200,0.000646457,0.000684308,0.000003207,10,0,
1,200,0.000811687,0.000900736,0.000008871,10,0,
1,200,0.000502320,0.000555915,0.000005062,10,0,
1,200,0.000627783,0.000708481,0.000008034,10,0,
1,200,0.000655504,0.000742713,0.000008692,10,0,
1,200,0.000737355,0.000827248,0.000008954,10,0,
1,200,0.000637065,0.000675696,0.000003261,10,0,
1,200,0.000768048,0.000805825,0.000003235,10,0,
1,200,0.000735104,0.000824750,0.000008937,10,0,
1,200,0.000504875,0.000590554,0.000008553,10,0,
1,200,0.000601854,0.000638814,0.000003157,10,0,
1,200,0.000614718,0.000699742,0.000008467,10,0,
1,200,0.000614606,0.000651326,0.000003102,10,0,
1,200,0.000609050,0.000697991,0.000008900,10,0,
1,200,0.000622759,0.000676293,0.000004982,10,0,
1,200,0.000714311,0.000807022,0.000009221,10,0,
1,200,0.000534240,0.000618570,0.000008484,10,0,
1,200,0.000602229,0.000636773,0.000002993,10,0,
1,200,0.000713669,0.000805682,0.000009097,10,0,
1,200,0.000672315,0.000711672,0.000003258,10,0,
1,200,0.000649260,0.000738514,0.000008814,10,0,
1,200,0.000661417,0.000697906,0.000003076,10,0,
1,200,0.000785261,0.000878793,0.000009313,10,0,
1,200,0.000682070,0.000775199,0.000009225,10,0,
1,200,0.000732424,0.000840803,0.000010975,10,0,
1,200,0.000633994,0.000670079,0.000003048,10,0,
1,200,0.000607016,0.000643041,0.000003027,10,0,
1,200,0.000579499,0.000669222,0.000008977,10,0,
1,200,0.000634887,0.000671526,0.000003088,10,0,
1,200,0.000705148,0.000793690,0.000008792,10,0,
1,200,0.000672388,0.000758874,0.000008614,10,0,
1,200,0.000724654,0.000760980,0.000003014,10,0,
1,200,0.000741015,0.000779806,0.000003280,10,0,
1,200,0.000522347,0.000605415,0.000008248,10,0,
1,200,0.000614144,0.000650963,0.000003141,10,0,
1,200,0.000695101,0.000732182,0.000003106,10,0,
1,200,0.000508214,0.000603347,0.000009673,10,0,
1,200,0.000725862,0.000763514,0.000003137,10,0,
1,200,0.000758117,0.000865214,0.000010857,10,0,
1,200,0.000583824,0.000670030,0.000008625,10,0,
1,200,0.000652424,0.000741030,0.000008875,10,0,
1,200,0.000703087,0.000739822,0.000003108,10,0,
1,200,0.000728658,0.000766108,0.000003148,10,0,
1,200,0.000601466,0.000668533,0.000006406,10,0,
1,200,0.000726166,0.000763209,0.000003100,10,0,
1,200,0.000545321,0.000581713,0.000003116,10,0,
1,200,0.000751893,0.000850065,0.000009893,10,0,
1,200,0.000800684,0.000839209,0.000003180,10,0,
1,200,0.000628653,0.000665339,0.000003071,10,0,
1,200,0.000535401,0.000570944,0.000003107,10,0,
1,200,0.000675904,0.000763666,0.000008783,10,0,
1,200,0.000688256,0.000774030,0.000008507,10,0,
1,200,0.000673732,0.000710224,0.000003081,10,0,
1,200,0.000792578,0.000886186,0.000009242,10,0,
1,200,0.000665162,0.000751038,0.000008490,10,0,
1,200,0.000621010,0.000707729,0.000008562,10,0,
1,200,0.000668146,0.000755320,0.000008695,10,0,
1,200,0.000733300,0.000820186,0.000008653,10,0,
1,200,0.000779717,0.000879210,0.000009746,10,0,
1,200,0.000616293,0.000689636,0.000003065,10,0,
1,200,0.000635129,0.000672845,0.000003185,10,0,
1,200,0.000717816,0.000804944,0.000008658,10,0,
1,200,0.000735207,0.000773218,0.000003163,10,0,
1,200,0.000635911,0.000673028,0.000003157,10,0,
1,200,0.000658075,0.000694471,0.000003084,10,0,
1,200,0.000891354,0.000927390,0.000002946,10,0,
1,200,0.000579214,0.000615311,0.000003083,10,0,
1,200,0.000582659,0.000619404,0.000003165,10,0,
1,200,0.000699163,0.000736213,0.000003143,10,0,
1,200,0.000712466,0.000751736,0.000003338,10,0,
1,200,0.000640222,0.000730137,0.000008949,10,0,
1,200,0.000654915,0.000745450,0.000009037,10,0,
1,200,0.000758843,0.000846385,0.000008671,10,0,
1,200,0.000728687,0.000817485,0.000008850,10,0,
1,200,0.000683131,0.000771309,0.000008786,10,0,
1,200,0.000644106,0.000681884,0.000003235,10,0,
1,200,0.000535193,0.000614659,0.000007902,10,0,
1,200,0.000714756,0.000753206,0.000003242,10,0,
1,200,0.000722496,0.000815957,0.000009394,10,0,
1,200,0.000654031,0.000692288,0.000003216,10,0,
1,200,0.000697171,0.000736266,0.000003304,10,0,
1,200,0.000707454,0.000981112,0.000029368,10,0,
1,200,0.000494663,0.000528750,0.000003008,10,0,
1,200,0.000685632,0.000775405,0.000008898,10,0,
1,200,0.000728319,0.000818836,0.000009069,10,0,
1,200,0.000588233,0.000624633,0.000003207,10,0,
1,200,0.000739380,0.000825887,0.000008622,10,0,
1,200,0.000700185,0.000737014,0.000003094,10,0,
1,200,0.000655461,0.000745396,0.000008950,10,0,
1,200,0.000704133,0.000743953,0.000003432,10,0,
1,200,0.000702605,0.000740971,0.000003291,10,0,
1,200,0.000607804,0.000748191,0.000014538,10,0,
1,200,0.000716034,0.000754211,0.000003220,10,0,
1,200,0.000640057,0.000729276,0.000008924,10,0,
1,200,0.000520944,0.000594013,0.000003069,10,0,
1,200,0.000507349,0.000543192,0.000003152,10,0,
1,200,0.000659229,0.000696690,0.000003240,10,0,
1,200,0.000729173,0.000816551,0.000008716,10,0,
1,200,0.000726474,0.000814393,0.000008715,10,0,
1,200,0.000713597,0.000804077,0.000009047,10,0,
1,200,0.000692709,0.000773875,0.000003115,10,0,
1,200,0.000648927,0.000716091,0.000006613,10,0,
1,200,0.000717722,0.000793219,0.000003187,10,0,
1,200,0.000705880,0.000745466,0.000003361,10,0,
1,200,0.000735422,0.000772814,0.000003153,10,0,
1,200,0.000640113,0.000676442,0.000003093,10,0,
1,200,0.000652222,0.000738217,0.000008583,10,0,
1,200,0.000739093,0.000776875,0.000003158,10,0,
1,200,0.000699926,0.000797240,0.000008736,10,0,
1,200,0.000391711,0.000426925,0.000003113,10,0,
1,200,0.000640333,0.000732501,0.000009267,10,0,
1,200,0.000661040,0.000698064,0.000003139,10,0,
1,200,0.000683182,0.000772504,0.000008917,10,0,
1,200,0.000711457,0.000748110,0.000003108,10,0,
1,200,0.000808545,0.000845439,0.000003066,10,0,
1,200,0.000666555,0.000761357,0.000009420,10,0,
1,200,0.000535357,0.000571733,0.000003188,10,0,
1,200,0.000392817,0.000427574,0.000003059,10,0,
1,200,0.000599014,0.000687668,0.000008880,10,0,
1,200,0.000754038,0.000792530,0.000003214,10,0,
1,200,0.000781774,0.000819934,0.000003216,10,0,
1,200,0.000689671,0.000725970,0.000003080,10,0,
1,200,0.000688359,0.000725356,0.000003146,10,0,
1,200,0.000728406,0.000765928,0.000003181,10,0,
1,200,0.000681887,0.000765958,0.000008389,10,0,
