ok,status,ttft_s,e2e_s,mean_itl_s,n_tokens,is_overlap,error
1,200,0.001126403,0.001166380,0.000003007,10,0,
1,200,0.000839138,0.001102330,0.000027740,10,0,
1,200,0.000778365,0.000904610,0.000012648,10,0,
1,200,0.000955439,0.001031287,0.000007146,10,0,
1,200,0.000940451,0.001023017,0.000007965,10,0,
1,200,0.001230176,0.001328278,0.000009341,10,0,
1,200,0.000915833,0.001004093,0.000008416,10,0,
1,200,0.001011950,0.001135080,0.000012184,10,0,
1,200,0.000896106,0.000982036,0.000008246,10,0,
1,200,0.000678497,0.000733894,0.000002803,10,0,
1,200,0.000724128,0.000816224,0.000008889,10,0,
1,200,0.001038623,0.001300355,0.000027323,10,0,
1,200,0.000703595,0.000776874,0.000006853,10,0,
1,200,0.001212848,0.001254014,0.000003085,10,0,
1,200,0.001025195,0.001059761,0.000002759,10,0,
1,200,0.000963790,0.001058177,0.000009140,10,0,
1,200,0.000760143,0.000849970,0.000008673,10,0,
1,200,0.000946532,0.001042043,0.000009124,10,0,
1,200,0.001043346,0.001132133,0.000002891,10,0,
1,200,0.000912062,0.001006918,0.000009057,10,0,
1,200,0.000779042,0.000869404,0.000008681,10,0,
1,200,0.000934828,0.000973972,0.000002970,10,0,
1,200,0.000631247,0.000713461,0.000007960,10,0,
1,200,0.000790387,0.000879863,0.000008641,10,0,
1,200,0.001216387,0.001304328,0.000003142,10,0,
1,200,0.001091132,0.001132903,0.000003171,10,0,
1,200,0.000803832,0.000896913,0.000008903,10,0,
1,200,0.000930151,0.001215112,0.000030194,10,0,
1,200,0.000948033,0.001042953,0.000009120,10,0,
1,200,0.000872802,0.000962063,0.000008537,10,0,
1,200,0.000999485,0.001089547,0.000002948,10,0,
1,200,0.000990984,0.001093543,0.000007253,10,0,
1,200,0.001159474,0.001255257,0.000009135,10,0,
1,200,0.000866475,0.000964361,0.000009390,10,0,
1,200,0.001066607,0.001107775,0.000003089,10,0,
1,200,0.000680605,0.000762534,0.000007920,10,0,
1,200,0.000789820,0.000878501,0.000008509,10,0,
1,200,0.000627715,0.000827706,0.000015820,10,0,
1,200,0.000845309,0.000933119,0.000008429,10,0,
1,200,0.000998407,0.001092725,0.000008779,10,0,
1,200,0.001128228,0.001218738,0.000003011,10,0,
1,200,0.001091939,0.001175578,0.000007986,10,0,
1,200,0.001122119,0.001200389,0.000003106,10,0,
1,200,0.001048229,0.001136439,0.000008534,10,0,
1,200,0.000872136,0.000958679,0.000008291,10,0,
1,200,0.001077534,0.001171482,0.000008877,10,0,
1,200,0.001109650,0.001149408,0.000002976,10,0,
1,200,0.001096275,0.001195698,0.000009484,10,0,
1,200,0.001087815,0.001363682,0.000002914,10,0,
1,200,0.000747240,0.000833961,0.000008369,10,0,
1,200,0.000665410,0.000742958,0.000007446,10,0,
1,200,0.000751101,0.000824374,0.000007044,10,0,
1,200,0.001020465,0.001115018,0.000008872,10,0,
1,200,0.000772016,0.000855485,0.000007968,10,0,
1,200,0.001061302,0.001160975,0.000003084,10,0,
1,200,0.000820270,0.000909152,0.000008575,10,0,
1,200,0.000832133,0.000909140,0.000007429,10,0,
1,200,0.000699015,0.000785512,0.000008372,10,0,
1,200,0.000726229,0.000817991,0.000008957,10,0,
1,200,0.001012410,0.001108360,0.000009181,10,0,
1,200,0.000902064,0.000993658,0.000008752,10,0,
1,200,0.000689116,0.000774060,0.000008218,10,0,
1,200,0.001069369,0.001397618,0.000034954,10,0,
1,200,0.000839016,0.000930539,0.000008884,10,0,
1,200,0.001091930,0.001191597,0.000003246,10,0,
1,200,0.001144814,0.001213450,0.000002991,10,0,
1,200,0.000775415,0.000871074,0.000009169,10,0,
1,200,0.000975171,0.001065879,0.000008419,10,0,
1,200,0.000981807,0.001051572,0.000002947,10,0,
1,200,0.001165745,0.001252389,0.000008163,10,0,
1,200,0.000818546,0.001074705,0.000027061,10,0,
1,200,0.000763659,0.000862520,0.000009667,10,0,
1,200,0.001093433,0.001217543,0.000009213,10,0,
1,200,0.000970814,0.001059065,0.000008186,10,0,
1,200,0.000878887,0.000964554,0.000008129,10,0,
1,200,0.001110435,0.001206597,0.000009217,10,0,
1,200,0.000788015,0.000853520,0.000002986,10,0,
1,200,0.000777888,0.000854773,0.000007362,10,0,
1,200,0.000971090,0.001062264,0.000008716,10,0,
1,200,0.000946420,0.001099992,0.000015263,10,0,
1,200,0.000913151,0.001002068,0.000008528,10,0,
1,200,0.001033863,0.001323148,0.000002882,10,0,
1,200,0.000811424,0.000898763,0.000008458,10,0,
1,200,0.001145825,0.001272209,0.000012292,10,0,
1,200,0.000857395,0.000894404,0.000002907,10,0,
1,200,0.001171194,0.001260938,0.000008585,10,0,
1,200,0.001292795,0.001454235,0.000011439,10,0,
1,200,0.000742665,0.000935628,0.000020111,10,0,
1,200,0.000759616,0.000844812,0.000008220,10,0,
1,200,0.001316044,0.001409348,0.000002930,10,0,
1,200,0.000818332,0.000856460,0.000002911,10,0,
1,200,0.000722502,0.000806400,0.000008052,10,0,
1,200,0.000920039,0.001003057,0.000007988,10,0,
1,200,0.000956775,0.001048895,0.000008691,10,0,
1,200,0.000774381,0.001014229,0.000002951,10,0,
1,200,0.000606664,0.000684538,0.000007479,10,0,
1,200,0.000672934,0.000756338,0.000008000,10,0,
1,200,0.001099064,0.001192235,0.000008834,10,0,
1,200,0.000729667,0.000768674,0.000003023,10,0,
1,200,0.000609277,0.000698685,0.000008691,10,0,
1,200,0.000711633,0.000799495,0.000008468,10,0,
1,200,0.001291282,0.001387103,0.000009228,10,0,
1,200,0.001306757,0.001510954,0.000002921,10,0,
1,200,0.000979305,0.001070924,0.000008615,10,0,
1,200,0.000966499,0.001004617,0.000002858,10,0,
1,200,0.001225813,0.001357585,0.000002876,10,0,
1,200,0.000729342,0.000766538,0.000002888,10,0,
1,200,0.000724405,0.000759625,0.000002728,10,0,
1,200,0.000829935,0.000884419,0.000004667,10,0,
1,200,0.000973213,0.001063028,0.000008491,10,0,
1,200,0.000971035,0.001238694,0.000028315,10,0,
1,200,0.000769956,0.000859574,0.000008678,10,0,
1,200,0.000623426,0.000703297,0.000002891,10,0,
1,200,0.000606308,0.000690215,0.000008075,10,0,
1,200,0.000521907,0.000596704,0.000007187,10,0,
1,200,0.000865989,0.000981539,0.000009009,10,0,
1,200,0.000851972,0.000889254,0.000002901,10,0,
1,200,0.000705250,0.000792490,0.000008173,10,0,
1,200,0.000908300,0.000996158,0.000002968,10,0,
1,200,0.000916721,0.001005932,0.000008607,10,0,
